,name,address,price,rating,amenities
0,Collection O 77042 Tetrad Hotel (Kanaka Grand),"Hebbal, Bangalore",₹1286,(867 Ratings),"Parking Facility, Elevator, Power backup"
1,Capital O 28398 Mysore Gate,"Near Nalanda Theater, Mysore Road, Bangalore",₹1334,(449 Ratings),"Reception, Security, 24/7 Checkin"
2,OYO 9605 Hotel Golden Inn,"Centrally Located, Near HKP Road, Shivaji Nagar, Bangalore",₹845,(643 Ratings),"Elevator, Free Wifi, Geyser"
3,Capital O 37517 Withinn Hotel,"Near NIAS, Mathikere Extension, Bangalore",₹1326,(807 Ratings),"Parking Facility, Reception, Free Wifi"
4,OYO 26900 Royal Inn,"Near 14th Main Road, Rajaji Nagar, Bangalore",₹1054,,"Reception, Free Wifi, Power backup"
5,Capital O 5683 SS Suites,"Near Big Bazar, Bannerghatta Road, Bangalore",₹1736,(693 Ratings),
6,SPOT ON 72596 Royal Regency ,"Centrally Located, Near Movieland Theatre, RK Puram, Bangalore",₹1014,(596 Ratings),"TV, Parking Facility, AC"
7,CAPITAL O75134 Kings Suits,"Near Itsy Bitsy, Sector 3, Bangalore",₹1340,(625 Ratings),"Parking Facility, Reception, Free Wifi"
8,Capital O 70534 Habitat Suites And Rooms ,"Near Yeshwantpur Station, Bangalore",₹1498,(362 Ratings),"Free Wifi, Power backup, AC"
9,Capital O 49646 Hotel Champion Paradise,"Near V.E.T School, J.P. Nagar, Bangalore",₹1321,(1017 Ratings),"Parking Facility, Reception, Free Wifi"
10,SPOT ON 75564 Manyata Deluxe,"Near manyata tech park, Nagavara, Bangalore",₹742,(2293 Ratings),"TV, AC, Reception"
11,SPOT ON 36102 Akshara Regency,"Near ADB Building, Gokula 1st Stage, Bangalore",₹674,(1181 Ratings),"Reception, Queen Sized Bed, Geyser"
12,Capital O 11927 Varcity Imperium,"Near Sulthangunta, Shivaji Nagar, Bangalore ",₹1380,(379 Ratings),"Free Wifi, Power backup, Card Payment"
13,OYO 78266 Collection O Sathyajyothi Comforts,"Girinagar, Bangalore",₹1216,(290 Ratings),"Reception, Free Wifi, Power backup"
14,Capital O 38666 Elmas Golden Key,"Near PVR Koramangala, 7th Block, Bangalore",₹1732,(643 Ratings),"Private Entrance, Reception, Free Wifi"
15,OYO Townhouse 364 Richmond Road,"Near Baldwin Women College, Richmond Town, Bengaluru",₹1216,(1408 Ratings),"Reception, Free Wifi, Power backup"
16,Capital O 78988 Smile Hotel ,", Bangalore",₹1541,(45 Ratings),"Reception, Public Washroom, Caretaker"
17,OYO 378 Aira Apartments,"HAL Airport Road, Kodihalli Extension, Bangalore",₹1588,(2 Ratings),"Elevator, Parking Facility, Free Wifi"
18,Capital O 12543 3 Square,"Next to Cafe Coffee Day, HBR Layout, Bangalore",₹1371,(902 Ratings),"Elevator, Free Wifi, Geyser"
19,Capital O 74788 Hotel Nandhana Pride ,"Near Manyata Tech Park, Byatarayanapura, Bangalore",₹1188,(307 Ratings),"Parking Facility, Reception, Free Wifi"
20,OYO 12761 High Street,"Near Kalyan silks commercial street, Bangalore",₹1014,(479 Ratings),"Free Wifi, Power backup, Card Payment"
21,OYO 78888 Elite Stays JP Nagar New,"JP Nagar 6th Phase, Bangalore",₹1261,(613 Ratings),"Private Entrance, Elevator, Free Wifi"
22,OYO 66437 Champion Grand,"Near Polar Bear, Nagarbhavi, Bangalore",₹1966,(403 Ratings),"Reception, Free Wifi, Power backup"
23,SPOT ON 71449 Ssr Lodging And Boarding,"Near Jumma masjid, Shivaji Nagar, Bangalore",₹1014,(298 Ratings),"Reception, Free Wifi, Power backup"
24,OYO 8501 Abhimaani Comforts,Kanakpura main road metro pillar number 45 nearby Banashankari metro station JP Nagar,₹1013,(921 Ratings),"Parking Facility, Elevator, Free Wifi"
25,OYO 76298 Prime Suites,"Near Hatti Kappi, Yellappa Garden, Bangalore",₹1632,(322 Ratings),"Free Wifi, Power backup, Card Payment"
26,SPOT ON 65593 Yatra Inn,"Near Majestic Railway station, Lalbagh, Bangalore",₹610,(1464 Ratings),"Reception, CCTV Cameras, Power backup"
27,Collection O 30012 Near Malleswaram,"Near Malleswaram, Bangalore",₹2392,(197 Ratings),"Reception, Free Wifi, Power backup"
28,OYO 9253 Champion Comfort,"Near Sarvodaya College of Nursing, Magadi Rd, Bangalore",₹1291,(282 Ratings),"Parking Facility, Free Wifi, Power backup"
29,Capital O 5379 The Roy Grand Inns,"Near AVS Layout, Koramangala, Bangalore",₹1014,(185 Ratings),"Reception, Free Wifi, Power backup"
30,Capital O 36457 Boulevard Madiwala,"BTM Layout, Bangalore",₹1300,(1382 Ratings),"Private Entrance, Reception, Free Wifi"
31,OYO 12083 Hotel Champion Inn,"Near Chandan Bar, Mathikere, Bangalore",₹1139,(719 Ratings),AC
32,OYO 6790 Hotel subha Residency,"Bangalore, Bangalore",₹790,(3 Ratings),"TV, Geyser, CCTV Cameras"
33,OYO Flagship 16105 Majestic,"Near Majestic Railway Station, Akkipete, Bangalore",₹1088,(806 Ratings),"Reception, Free Wifi, Power backup"
34,OYO 74308 Kings Suites,"Near MSO Colony, Maruthi Seva Nagar, Bangalore",₹1014,(662 Ratings),AC
35,Capital O 36137 Vihaari 24 Business Hotel,"Near HRBR Layout, Kalyan Nagar, Bengaluru",₹1709,(528 Ratings),"Hair Dryer, Parking Facility, Reception"
36,Capital O 74658 Nandhana Vistaa,"Near manyata tech park, Kammanahalli, Bangalore",₹1318,(1150 Ratings),"Reception, Power backup, TV"
37,OYO 69693 The Royal Park ,"Near OYE Amritsar, New Tippasandra, Banglore",₹1405,(287 Ratings),AC
